userId,username,subject,level,questionNumber,question,userAnswer,correctAnswer,isCorrect,timestamp,totalScore,totalQuestions
"69b1348f18dd2278ac58cb07","p","webdev","1","1","What does HTML stand for?","HyperText Markup Language","HyperText Markup Language","true","2026-03-11T09:24:18.716Z","2","10"
"69b1348f18dd2278ac58cb07","p","webdev","1","2","Which tag is used to create a hyperlink in HTML?","<link>","<a>","false","2026-03-11T09:24:18.716Z","2","10"
"69b1348f18dd2278ac58cb07","p","webdev","1","3","Which of the following is used to apply styles to a web page?","Python","CSS","false","2026-03-11T09:24:18.716Z","2","10"
"69b1348f18dd2278ac58cb07","p","webdev","1","4","Inside which HTML element do we put JavaScript code?","<code>","<script>","false","2026-03-11T09:24:18.716Z","2","10"
"69b1348f18dd2278ac58cb07","p","webdev","1","5","Which CSS property is used to change the text color?","background-color","color","false","2026-03-11T09:24:18.716Z","2","10"
"69b1348f18dd2278ac58cb07","p","webdev","1","6","What is the correct HTML tag for the largest heading?","<header>","<h1>","false","2026-03-11T09:24:18.716Z","2","10"
"69b1348f18dd2278ac58cb07","p","webdev","1","7","Which symbol is used for IDs in CSS selectors?","$","#","false","2026-03-11T09:24:18.716Z","2","10"
"69b1348f18dd2278ac58cb07","p","webdev","1","8","Which of these is a JavaScript data type?","Double","Boolean","false","2026-03-11T09:24:18.716Z","2","10"
"69b1348f18dd2278ac58cb07","p","webdev","1","9","Which HTML tag is used to display an image?","<img>","<img>","true","2026-03-11T09:24:18.716Z","2","10"
"69b1348f18dd2278ac58cb07","p","webdev","1","10","In JavaScript, what will typeof [] return?","'tuple'","'object'","false","2026-03-11T09:24:18.716Z","2","10"
"69b1348f18dd2278ac58cb07","p","python","1","1","What is the correct way to create a list in Python?","Not Answered","list = [1, 2, 3]","false","2026-03-11T09:28:35.173Z","0","10"
"69b1348f18dd2278ac58cb07","p","python","1","2","Which of the following is used to define a function in Python?","Not Answered","def","false","2026-03-11T09:28:35.173Z","0","10"
"69b1348f18dd2278ac58cb07","p","python","1","3","What will be the output of: print(type([]))?","Not Answered","<class 'list'>","false","2026-03-11T09:28:35.173Z","0","10"
"69b1348f18dd2278ac58cb07","p","python","1","4","Which operator is used for exponentiation in Python?","Not Answered","**","false","2026-03-11T09:28:35.173Z","0","10"
"69b1348f18dd2278ac58cb07","p","python","1","5","What is the correct syntax for a while loop in Python?","Not Answered","while condition:","false","2026-03-11T09:28:35.173Z","0","10"
"69b1348f18dd2278ac58cb07","p","python","1","6","Which method is used to add an element to the end of a list?","Not Answered","append()","false","2026-03-11T09:28:35.173Z","0","10"
"69b1348f18dd2278ac58cb07","p","python","1","7","What is the output of: len('Hello World')?","12","11","false","2026-03-11T09:28:35.173Z","0","10"
"69b1348f18dd2278ac58cb07","p","python","1","8","Which of the following is NOT a valid Python data type?","Not Answered","char","false","2026-03-11T09:28:35.173Z","0","10"
"69b1348f18dd2278ac58cb07","p","python","1","9","What is the correct way to import the math module in Python?","Not Answered","import math","false","2026-03-11T09:28:35.173Z","0","10"
"69b1348f18dd2278ac58cb07","p","python","1","10","What will be the result of: 5 // 2?","Not Answered","2","false","2026-03-11T09:28:35.173Z","0","10"
